.........Program Start...........
.........Configure MPU and DMP...........
.........Calibration...........
Gyro Bias: -51 20 -7 
Accel Bias: -104 -28 -18 
Calibration done.
XIicPs_MasterSendPolled error at 3027s!
mpu_utils.c: Error on IIC Write (0x37).
.........With DMP...........
Gyro: (-0.09dgr/s, -0.01dgr/s, -0.06dgr/s) | Acc: (0.01g, -0.00g, 1.00g) | Comp: (42.3uT, -6.0uT, 32.7uT) | Temp: 24.75dgrC

Gyro: (-0.03dgr/s, -0.10dgr/s, -0.08dgr/s) | Acc: (0.00g, 0.00g, 1.00g) | Comp: (41.7uT, -6.0uT, 31.2uT) | Temp: 24.75dgrC

Gyro: (-0.09dgr/s, -0.13dgr/s, -0.06dgr/s) | Acc: (0.01g, 0.00g, 1.00g) | Comp: (45.3uT, -6.0uT, 32.7uT) | Temp: 24.79dgrC

Gyro: (-0.01dgr/s, -0.13dgr/s, -0.06dgr/s) | Acc: (0.00g, -0.00g, 1.00g) | Comp: (42.0uT, -7.2uT, 33.6uT) | Temp: 24.79dgrC

Gyro: (-0.42dgr/s, -0.12dgr/s, 0.00dgr/s) | Acc: (0.00g, 0.00g, 1.00g) | Comp: (42.3uT, -5.4uT, 33.3uT) | Temp: 24.79dgrC

Gyro: (0.20dgr/s, 0.00dgr/s, 0.00dgr/s) | Acc: (0.01g, 0.00g, 1.00g) | Comp: (41.7uT, -6.9uT, 34.8uT) | Temp: 24.81dgrC

Gyro: (-0.06dgr/s, -0.11dgr/s, -0.08dgr/s) | Acc: (0.01g, -0.00g, 1.00g) | Comp: (39.6uT, -6.9uT, 32.7uT) | Temp: 24.80dgrC

Gyro: (-0.01dgr/s, -0.06dgr/s, -0.05dgr/s) | Acc: (0.01g, -0.00g, 1.00g) | Comp: (42.0uT, -5.1uT, 33.0uT) | Temp: 24.81dgrC

Gyro: (0.47dgr/s, 0.00dgr/s, -0.11dgr/s) | Acc: (0.00g, -0.00g, 1.00g) | Comp: (42.3uT, -6.9uT, 33.3uT) | Temp: 24.82dgrC

Gyro: (-0.21dgr/s, -0.05dgr/s, -0.04dgr/s) | Acc: (0.01g, 0.00g, 1.00g) | Comp: (41.1uT, -6.0uT, 32.7uT) | Temp: 24.84dgrC

